,jour,clearMin,clearMax,clearMoy,clearMed,dirtyMin,dirtyMax,dirtyMoy,dirtyMed
194,2023-03-14,3.2,3.2,3.2,3.2,5.6,5.6,5.6,5.6
195,2023-03-17,1.465,1.465,1.465,1.465,0.0,0.0,0.0,0.0
196,2023-03-24,3.065,3.065,3.065,3.065,4.9,4.9,4.9,4.9
197,2023-03-27,0.665,0.665,0.665,0.665,0.0,0.7,0.6036798,0.7
198,2023-04-01,1.2,8.665,5.7546926,8.665,2.1,15.4,10.214858,15.4
199,2023-04-02,0.665,0.665,0.665,0.665,0.0,2.1,0.7224862,0.0
200,2023-04-03,1.865,1.865,1.865,1.865,1.4,1.4,1.4,1.4
201,2023-04-04,0.0,0.0,0.0,0.0,7.7,7.7,7.7,7.7


